epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2357.16,0.81839,0.71062,1.12272,0.32372,0.24202,0.19595,0.10762,2.14908,3.30465,2.13041,0.000281762,0.000281762,0.000281762
66,2395.46,0.79256,0.68731,1.12569,0.36472,0.20105,0.19331,0.10584,2.18278,3.44693,2.22884,0.000274148,0.000274148,0.000274148
67,2432.87,0.79116,0.67925,1.10817,0.2761,0.23103,0.19519,0.10101,2.28577,3.33666,2.32809,0.000266535,0.000266535,0.000266535
68,2468.02,0.80708,0.67262,1.10205,0.27104,0.27714,0.2116,0.1061,2.25483,3.18029,2.24971,0.000258922,0.000258922,0.000258922
69,2503.81,0.77202,0.66073,1.09785,0.23938,0.24731,0.17689,0.08747,2.26366,3.17881,2.25388,0.000251309,0.000251309,0.000251309
70,2542.96,0.75544,0.64682,1.10085,0.36195,0.22069,0.19335,0.09307,2.25358,3.29179,2.28014,0.000243696,0.000243696,0.000243696
71,2578.6,0.76737,0.66726,1.09826,0.37301,0.18246,0.1737,0.08629,2.25639,3.35176,2.29001,0.000236083,0.000236083,0.000236083
72,2612.81,0.77317,0.6708,1.10424,0.2858,0.16818,0.16676,0.08432,2.2469,3.51989,2.27731,0.00022847,0.00022847,0.00022847
73,2647.01,0.75201,0.63911,1.09138,0.29727,0.21638,0.17688,0.09534,2.23408,3.45856,2.28184,0.000220857,0.000220857,0.000220857
74,2681.65,0.73866,0.63485,1.08733,0.34782,0.18604,0.17395,0.09396,2.2705,3.52079,2.28665,0.000213244,0.000213244,0.000213244
75,2716.37,0.71391,0.63483,1.08089,0.38556,0.17351,0.17705,0.0896,2.23666,3.58373,2.18552,0.000205631,0.000205631,0.000205631
76,2750.44,0.71006,0.60668,1.06164,0.3526,0.22523,0.1898,0.09602,2.19986,3.60392,2.19944,0.000198018,0.000198018,0.000198018
77,2783.96,0.70534,0.60623,1.06839,0.51124,0.15985,0.17457,0.08542,2.20917,3.70359,2.20701,0.000190404,0.000190404,0.000190404
78,2818.19,0.70452,0.59902,1.05984,0.3069,0.19416,0.1692,0.09193,2.24005,3.67901,2.27361,0.000182791,0.000182791,0.000182791
79,2854.3,0.69587,0.58832,1.06251,0.25596,0.21561,0.18813,0.09561,2.26236,3.55462,2.29458,0.000175178,0.000175178,0.000175178
80,2889.71,0.69564,0.58117,1.04823,0.35294,0.19722,0.19115,0.09716,2.21199,3.5517,2.23079,0.000167565,0.000167565,0.000167565
81,2925.3,0.6984,0.58811,1.05753,0.34393,0.17522,0.17186,0.09293,2.24442,3.63801,2.24397,0.000159952,0.000159952,0.000159952
82,2962.04,0.68264,0.57743,1.05685,0.37073,0.18691,0.17225,0.09677,2.20808,3.57339,2.19574,0.000152339,0.000152339,0.000152339
83,3000.22,0.66651,0.56153,1.04151,0.32435,0.18821,0.15924,0.08445,2.17326,3.56225,2.19794,0.000144726,0.000144726,0.000144726
84,3037.66,0.67001,0.5646,1.04107,0.28246,0.17787,0.1687,0.09254,2.21075,3.65055,2.21886,0.000137113,0.000137113,0.000137113
85,3074.82,0.67354,0.56117,1.04578,0.26118,0.17619,0.15688,0.09024,2.16555,3.68201,2.17035,0.0001295,0.0001295,0.0001295
